Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"1","33","DET/1","Casey Mize","RHP","21.1","6' 3""","208","R","R","Auburn","","55","Med","Mize was a semi-sought-after high schooler but ended up at Auburn, where he broke out on the Cape after his freshman year. He looked like a mid-first rounder after his sophomore year and subsequent summer with collegiate Team USA, then took a giant leap forward this year, as a junior, when his command improved and because he added an 87-90 mph cutter that quickly became a plus pitch. 

While he threw a sinker most of 2017, Mize now throws a flat four-seamer, up to 97 mph in most starts, but he doesn't throw it much compared to big league norms. In starts we've charted, Mize threw 37% fastballs, 32% cutters, 16% splitters and 15% sliders. 

Mize is unique, a nearly finished product who could probably pitch in the upper levels of the minors now, and maybe be in a rotation next year, pitching in a way that's becoming more common in the big leagues. On the down side, Mize has some head violence at release and no physical projection and also relies heavily on a new pitch (the cutter) where there's lots of anecdotal evidence that says it dimishes velocity when used often.

Discussions of Mize's presumptive selection at #1 overall are always qualified by assumptive health. Mize had shoulder issues in high school that scared some teams off, he missed two starts as a sophomore with forearm tightness and experienced more forearm issues last summer with Team USA, then had non-surgical treatment on the arm in August of last year. He's still our top prospect, but by a smaller margin that some may expect, because he's a risky subset of pitcher. He's also very advanced and should move quickly, and this class lacks a standout, consensus bat to stick ahead of him. The Tigers have been zeroed in on Mize most of the spring and he's the overwhelming favorite to go 1-1.","KTLpXoKizJU",""
"2","35","CHW/4","Nick Madrigal","2B","21.2","5' 7""","160","R","R","Oregon State","","55","Low","Madrigal had his share of suitors coming out of a powerhouse NorCal high school, but it's hard for teams to pay a big price for a small, high school second basemen, so he matriculated to Oregon State. He's been electric there for three years, posting big numbers and maturing physically while fine-tuning his game. 

Madrigal was off to a raucous start in 2018 before fracturing his wrist in a benign-looking homeplate collision, scaring some teams that are worried about durability due to his small frame. He missed about two months, but still hit .395/.460/.560 over the course of the year while playing elite defense at second base, especially around the bag. Madrigal is a complete, do-everything player once you look past his size and could be in the big leagues as soon as 2019 because of how polished his skillset is. He likely goes 4th to the White Sox or 5th to the Reds.","tQxQekapA8k",""
"3","60","SF/2","Joey Bart","C","21.5","6' 3""","225","R","R","Georgia Tech","","50","Med","Bart was a known high school prospect in the Atlanta suburbs and, though a few teams nearly met it, his price tag pushed him to Tech where he's grown into one of this draft's top talents. He has elite feel for the position, projecting as an impact defender with a 65-grade arm despite being bigger than most good defensive ctachers. He also does advance work for every game, calls area scouts for gameplan input, and is possibly the only catcher at a major program that calls his own games. Scouts rave about his makeup.

Offensively, Bart has huge power and has hit some tape measure shots, including a ball that went over the football facility roof in left field at Georgia Tech and still hasn’t been found. He isn’t the most selective hitter and doesn’t have the loosest swing in the class, but he has some feel for the bat head and doesn’t have trouble with velocity. His power and fly-ball based approach along with these issues mean he could be a 40 or 45 bat with about an average walk rate and anywhere from 50 to 60 game power. Some of his strikeouts this year were a result of getting pitched around. He's seen a lot of off-speed pitches and has altered his approach to hit what he was facing, which likely won’t be a big issue in pro ball.

Since Bart is so advanced defensively, some scouts have speculated that he’ll go straight to High-A and could debut in the big leagues in late 2019. This could make him one of those prospects that gets to the big leagues before the holes to his offensive game have been closed because he's so good at everything else. The Giants have been all over Bart all spring and are expected to take him 2nd overall, but he's also a candidate to go 1st if Mize's medical or bonus demands become problematic.","Cozg_YSvag0",""
"4","71","PIT/10","Travis Swaggerty","CF","20.8","5' 11""","180","L","L","South Alabama","","50","High","Swaggerty was a new name to most scouts last summer when he starred as the sparkplug for collegiate Team USA, playing center field and batting atop the lineup along with Madrigal. Swaggerty showed bat control and gap power, and was a fringe first rounder for many off that first, extended look, but he came out this spring looking like a different player. He had become more physical and changed his swing to incorporate his added strength, lifting the ball and evolving from a gap-to-gap speed player into a potential monster with plus raw power, arm strength and speed. 

Swaggerty didn't put up the gaudy numbers you'd expect for a guy with top level tools in a mid-major conference and who had a summer of good performance with wood bats against strong competition, because Swaggerty's new swing would get out of whack. His weight transfer was too aggressive at times, causing him to lose balance andbe in a poor position to hit. He was hot fearly in the year, then had another hot streak in April, but some high level evaluators (and us) saw him multiple times only during intermittent slumps, which could make it tough for teams to pick him early when the stats and your eyes both say that hit tool is questionablel. We think at least average offense is in there, Swaggerty just needs to dial in the swing mechanics and an approach that takes best advantage of his tools, which are arguably tops in the class. Swaggerty seemed like a likely top-5 overall pick but it sounds like he may slide out of the top 6 due to some uneven late season games.","qTYA7IA0cCQ",""
"5","93","PHI/3","Alec Bohm","3B","21.8","6' 5""","240","R","R","Wichita State","","50","High","Bohm has a strong, wiry frame and, though it may take a swing tweak to unlock it's full potential in games, he has among the best raw power and power projection in the entire draft. His swing is too contact-oriented. Many college programs emphsize contact-oriented swings because college defenses are bad and the bats allow you to hit for power anyway. Bohm would likely benefit, long-term, from a swing that better loads his hands to take advantage of his strength and that lets him extend his arms more. This would likely cost him some contact ability, but he has a 9% K rate this year due in part to surprising feel to hit, so there's lots of room for more whiffs before they become an issue.

While currently athletic enough to stay at third, Bohm's broad frame is likely to add some weight over the next few years, and he may have to move down the defensive spectrum. This, plus an projected swing change, mean more of Bohm's profile exists in abstraction than is typical for this kind of college performer. The Phillies zeroed in on Bohm early in the spring and are the favorites to select him.","GOKNy9Trues",""
"6","96","TB/16","Matthew Liberatore","LHP","18.6","6' 5""","200","L","L","Mountain Ridge HS AZ","Arizona","50","High","Liberatore has a prototypical pitcher's build, is athletic for his size, his delivery is relatively clean (though arguably lacking deception) and, most importantly, Libby has monster, bat-missing stuff when he's humming. At times this spring he's sat 93-97 mph in the early innings of his starts while flashing a plus-plus curveball, above-average changeup and newly-minted, average slider. 

Though he's also had spurts where he's been an erratic 88-92 mph and relied on tricks like quick pitches, Liberatore has arguably been the most consistent high school pitcher in the country and tops that category on our board. The Giants were in heavy to see him early on, but now his likely range of selection seems to be in the 7-13 range.","IayXSFEwcVU",""
"7","99","STL/19","Nolan Gorman","3B","18.1","6' 1""","210","L","R","O'Connor HS AZ","Arizona","50","Med","Gorman hit well on the summer showcase circuit as a rising senior and was generally considered to be the best high school hitter in the country entering his senior year. His body, defense and ability to hit breaking balls all backed up this spring, but most of the industry thinks these things are fixable or insignificant. Gorman's long hand path should be relatively easy for pro coaches to fix and a pro conditioning program should make him viable at third as long as Gorman works at it, and teams buy that he has the makeup to do it. As long as Gorman identifies pro breaking balls, his huge raw power -- visually, scouts have 70s on it but Gorman's summer exit velos were top of the scale for his age -- will play in games. He should be off the board after pick 8 or 9.","_2qk0vq7IEA",""
"8","100","NYM/6","Jarred Kelenic","CF","18.9","6' 1""","196","L","L","Waukesha West HS WI","Louisville","50","Med","Because of the local weather, high school baseball in Wisconsin doesn't get underway until late May, which would have made Kelenic impossible to scout were there not alternatives. Kelenic ended up on a youth travel team called Hitters Baseball which played lots of weekend games at any of three facilities near Kenosha and in Cedar Rapids. The concentration of opposing talent in these games was sufficient enough that teams thought Kelenic reinforced what they saw from him as an underclassman. He's a selective hitter with all-fields doubles power and a chance to stay in center field.

Kelenic is almost 19 and already quite physically mature, each considered negatives by the scouting community, but he comes with a long track record most prep hitters do not. Opinions vary regarding Kelenic's physical projection and how it might affect his power output and ultimate defensive home, but Kelenic's bat is stable enough that he's one of the higher-floor high school prospects. With few college hitters in the mid-first round mix, Kelenic could be considered a viable, slightly toolsier alternative to college hitting as early as pick #6.","LFdX2RZaB64",""
"9","103","CIN/5","Jonathan India","3B","21.5","6' 0""","200","R","R","Florida","","50","Low","India was a heavily-scouted prospect in high school who turned down bonuses well into the six figures to go to Florida. He didn't make much progress his first two years. India arrived on campus a fringy defensive shortstop, became a generic defender at third and slightly above-average college hitter. But that all changed this year. India got in better shape and his tools improved as well: he now has 55 raw power and is an above average defensive third baseman that could play a passable middle infield. In addition to the tool and body composition improvements, India made some subtle adjustments to his approach at the plate and they paid off in a big way, with gaudy power numbers. While nothing he does is plus, India offers clubs a high probability, 2 to 3 win, everyday third baseman. He forced himself much higher on our board than we could have imagined he would at the start of the spring.","KPK-GaBvm6U",""
"10","106","ATL/8","Carter Stewart","RHP","18.6","6' 6""","200","R","R","Eau Gallie HS FL","Mississippi State","50","High","Stewart got headlines over the summer for his historic curveball spin rates that regularly were in the elite 3000+ rpm range, notable even for big leaguers. Entering the year, Stewart was a lanky projection arm that sat 88-92 mph and, if his velocity jumped into the mid-90's like scouts were predicting, he'd move into the first half of round one. That's exactly what happened. Stewart came out of the gates strong and in the middle of the spring was regularly sitting 92-96, hitting 98 mph and flashing a 70 curveball, as well as other starter traits. His finish to the spring was rough as he dealt with a minor injury and he had a couple starts where he topped at 94 mph after sitting there weeks before. Some scouts don't like his on-mound demeanor. Stewart still offers perhaps arguably the highest upside among the prep arms and didn't really have any blemishes on his resume until the last month, so she should still go in the top 10-12 picks, unless clubs are out on prep arms altogether due to preceived risk.","VPPae4eCvXg",""
