Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"1","","","Kyle Wright","RHP","21.8","6' 4""","220","R","R","Vanderbilt","","60",,"Wright has an impeccable pitcher's frame and his stuff's consistency has improved as the spring has worn on. He sits 92-94 with his fastball but will bump 97 with life, he has a plus, low-80s curveball with two plane movement and a mid-80s slider that is effective when well-located. ","yO8JA8nXzL4",""
"2","","","Hunter Greene","RHP","17.8","6' 3""","195","R","R",,"UCLA","60",,"Elite fastball, premium athleticism, significant command and changeup projection because of the athleticism. Questions about the breaking ball(s), which flash but are inconsistent. ","FJ3P0zeL65Q",""
"3","","","MacKenzie Gore","LHP","18.3","6' 2""","180","L","L",,"East Carolina","55",,"Fastball mostly 90-92 with movement but not plane due to drop and drive delivery. Very athletic, has a shot for plus command and multiple 55 or better secondaries lead by a potential plus-plus changeup. ","JLkZukR_QSI",""
"4","","","Brendan McKay","1B/LHP","21.6","6' 2""","212","L","L","Louisville","","55",,"Sturdily built and athletic lefty with a good arm action and repeatable delivery. McKay commands his low-90s fastball to both sides of the plate and has a mature ability to locate his fastball and future above average curveball to various effective locales. Arm action portends changeup projection (it already flashes at least average) and he's working on a cutter, but his velo has been down recently. Offensively, McKay has an easy, lofty swing and at least plus raw power and teams are intrigued by what he might do if focused on hitting full time.","eml6BjjTDJg",""
"5","","","Royce Lewis","CF","18","6' 1""","185","R","R",,"UC Irvine","55",,"The twitchy (bordering on fidgety) Lewis has great feel to hit, a projectable build that should allow him to grow into power and is very likely to play a premium defensive position. Scouts are split on where that's going to be with most predicting Lewis will move off of his current shortstop and into center field. Lewis is a 70 runnner and could be plus in center field where his combinatoin of hit and power potential could make him an All Star.","IRGoLxDpn0U",""
"6","","","David Peterson","LHP","21.8","6' 6""","240","L","L","Oregon","","50",,"A gigantic lefty with a very heavy 88-93mph fastball and advanced usage of three viable secondaries (inluding an excellent changeup that he seldom uses), Peterson's junior season zenith was a 20 strikeout performance against Arizona State in April. ","",""
"7","","","Jo Adell","OF","18.2","6' 2""","195","R","R",,"Louisville","50",,"Adell was reaching the mid-90s on the mound last summer but hasn't been throwing well this spring . Despite that, he's hitting for huge power with (literally) magnitudes more home runs than strikeouts. He's a premium athlete with with plus-plus bat speed and a Justin Upton body comp. Scouts have questioned his feel to hit but Adell has already shown an ability to make some adjustments, evidence he'll be able to make more sould he need to in pro ball. He runs well but the body projects out of center field and, assuming his arm strength returns, to right field where he's a risky, potential middle of the order bat.","2ggOR2TQfyc",""
"8","","","Adam  Haseley","OF","21.1","6' 1""","185","L","L","Virginia","","50",,"Haseley is an above average runner with great instincts in center field and he profiles as an above average defender there despite lacking true high end speed. Scouts consider him likely to hit as Haseley has terrific breaking ball recognition, tracks pitches well and has a quick, whippy bat. He's hitting for an unexpected amount of wrist-driven power this season but scouts are skeptical about its pro ball sustainability. ","lJlQzfoO49c",""
"9","","","Austin Beck","OF","18.6","5' 11""","175","R","R",,"North Carolina","45",,"A torn ACL kept Beck off of the showcase circuit last summer and teams have less information (both on paper and off) about him than any of the other significant high school hitters because of it. Uncertainty has become apprehension as teams have watched Beck swing over top of breaking stuff this spring. But he has among the loudest tools in the entire draft including the class' best bat speed, plus raw power projection and a plus arm. If he hits he's a star, but the risk is high.","",""
"10","","","DL Hall","LHP","18.8","6' 0""","190","L","L",,"Florida State","45",,"Hall is a short but well-built prep lefty with a low-to-mid 90s fastball and great curveball feel. Some scouts have future 70s on those two pitches. Hall has less advanced command and less physical projection than most of the other high school arms likely to go in the first round but lefties with this sort of velo and breaking ball almost always go in the top 15. ","uN2TRUVwjs4",""
"11","","","Shane Baz","RHP","17.9","6' 3""","190","R","R",,"TCU","45",,"Great pitcher's frame but has less physical projection than some of the other high school arms in the class. Premium stuff including a fastball that has touched 98 this spring, a potential plus cutter and curveball. Has isues with command and the fastball playing beneath its raw velo despite an exceptional spin rate.  ","Vjv8crlG4_o",""
"12","","","J.B. Bukauskas","RHP","20.8","6' 0""","195","R","R","North Carolina","","45",,"An undersized righty with a plus fastball and slider (which he uses very heavily), Bukauskas has mid-rotation stuff but scouts are either concerned with his size (I am not) his delivery/command projection or both. ","",""
"13","","","Alex Faedo","RHP","21.7","6' 5""","225","R","R","Florida","","45",,"Faedo's velocity (mostly 91-94, flat at times) and command have backed up a bit this year but they're still at least average, his slider has retained plus projection and he has a chance at a viable three-pitch mix, though the changeup is firm and clearly below average right now. There are concerns about injury, not necessarily due to Faedo's unique delivery but rather because he had arthroscopic surgery on both of his knees last fall. He has looked more like an average big league starter this spring but if the velo spikes back up in pro ball he has more of a mid-rotation profile.","",""
"14","","","Sam Carlson","RHP","18.7","6' 4""","195","R","R",,"Florida","45",,"Carlson is as projectable as any high school pitcher in this year's draft, with a good body, delivery and feel for both a curveball and changeup. His fastball velocity has been ticking up since last summer, when he was 88-92, and has been up to 96 this spring. He has a chance for a plus fastball, plus command, and above average changeup and at least an average curveball.  ","PK5O-3F8YyM",""
"15","","","Keston Hiura","2B","20.8","6' 0""","185","R","R","UC Irvine","","45",,"Hiura has had elbow issues for much of his college career and has seen Dr. Neal El Attrache in Los Angeles. He's not throwing right now, taking grounders at second base during batting practice but lobbing balls away to teammates after fielding them. He has the feet and actions for second base but there's uncertainty about his future defensive home because of the arm. He rakes though, with one of the draft's quickest bats and above average raw power. If his arm gets healthy he could hit and hit for power while playing an up the middle position. ","JMh1a26Cjos",""
