Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"1","16","1/BAL","Adley Rutschman","C","21.3388888","6' 2""","216","S","R","Oregon State",,"60",,"Rutschman began to ascend the fall after his freshman year, when he looked like one of the two most talented Oregon State players during fall practices in Corvallis. He then broke out as a sophomore, and further separated himself from the rest of the top talents with an electrifying 2018 postseason. He held the top spot, wire-to-wire, during the subsequent 12 months, which included him hitting .427/.584/.772 as a junior. It's because Rustchman is good at everything. Remarkably mobile for someone his size, he comfortably has the skills to not only stay at catcher, but excel there. He's an agile ball-blocker, he can throw, and he's a con artist pitch-framer who gets umpires booed because fans are convinced they're all strikes. On top of that, this is a switch-hitter with both power and feel for contact from both sides of the plate and an intense, earnest, vocal leader. He is arguably the best draft prospect of the last half decade, a polished, complete player with star-level physical tools. Unless Baltimore wants to save bonus pool money or Rutschman's medical raises questions (it may -- he had a shoulder issues in high school and again as a sophomore), he should be their pick.",,
"2","50","2/KCR","Bobby Witt, Jr.","SS","18.9833333","6' 1""","185","R","R","Coleyville Heritage HS TX","Oklahoma","50",,"Witt was on the national scouting radar a few years ago, both as the son of a prominent big leaguer and agent/adviser but also for being, with C.J. Abrams, one of the most precocious talents in this class. There was some concern early in the summer when he was swinging through fastballs in the zone that this could be a 40 bat that goes lower in the first round, but he rebounded well in the fall and spring. It's still a power-over-hit profile along the lines of Trevor Story but Witt may be a better athlete, runner, and defender than Story as well. He's now securely the consensus second-best prospect in the draft class.",,
"3","60","4/MIA","J.J. Bleday","RF","21.5777777","6' 3""","205","L","L","Vanderbilt",,"50",,"Bleday was an interesting but low-to-mid-six-figure two-way prospect out of a Florida panhandle high school, with mostly average tools on the mound and at the plate. He gave up pitching and began to emerge as a power threat at Vanderbilt as an underclassman, then had a coming out party on the Cape and early this spring, jumping into the top 10. He slowly climbed up from there as his quirky setup seemed less problematic as he torched the SEC with a flat BB/K rate and 25 homers while also offering more than just a cursory level of outfield defense.",,
"4","65","3/CHW","Andrew Vaughn","1B","21.1805555","5' 11""","210","R","R","Cal",,"50",,"Vaughn hit .402/.531/.819 as a sophomore and won the Golden Spikes. A repeat performance as a junior would have made him one of, if not the greatest statistical performer in college history. After an early-season surge, Vaughn started seeing a lot of breaking balls, about 15% fewer fastballs in PAC-12 play than he had during non-conference bouts. He was pitched around, and unable to make as much impact contact. But all the tools remain present. Vaughn has a very selective approach, letting strikes he can't drive pass him by unless he has to protect. He has a very athletic swing despite being decidedly unathletic in every other way, enabling all fields power and high rates of contact. There's no margin for error for right-handed hitting first baseman, but if there's one prospect to be confident in hitting as much as is necessary to profile at first base, it's someone with this combination of visual evaluation and statistical track record. He's a longshot possibility at the first pick, but probably goes between three and five.","cPv9SsBcKQk",
"5","85","6/SDP","C.J. Abrams","SS","18.6805555","6' 2""","182","L","R","Blessed Trinity HS GA","Alabama","50",,"Abrams stood out early in his high school career and colleges that recruited him regarded him as too talented to get to campus as early as age 15. He's developed into an 80 runner with 55-grade raw power that many think will turn into a 60 down the road. He's okay at shortstop mainly because the actions and instincts aren't present, so most think he moves to center field down the road. The swing is geared for line drives and has mechanical similarities to Kenny Lofton's. Most clubs regard Abrams as more of a 50 makeup guy (admittedly a subjective distinction) who has questionable enthusiasm for the game, but at some point, his near historic raw tools and strong track record are too much to pass up.",,
"6","92","5/DET","Riley Greene","RF","18.6944444","6' 2""","190","L","L","Hagerty HS FL","Florida","50",,"Greene, like so many elite prep bats, was identified early in his prep career as an elite bat, but unlike many of those, he always looked like a corner fit. The consensus tool grades are a 55 or 60 bat with 60 raw power and a good feel for hitting in games and getting to his power. He got in better shape and trained to improve his straight line speed, becoming a 50 runner this spring, so there's a little more speed and defense than there was in the summer. A common comp is the last advanced prep corner outfielder, Twins prospect Alex Kirilloff.",,
"7","111","7/CIN","Nick Lodolo","LHP","21.3416666","6' 6""","195","L","L","TCU",,"50",,"Drafted and unsigned by the Pirates as a 2016 first rounder, Lodolo took a bit of a circuitous route to the top of the 2019 class. He had iffy freshman and sophomore years but flashed a tantalizing blend of stuff and feel at times, keeping him in the first round mix despite inconsistent performance. Everything clicked for him during an early-season college tournament in Houston, where Lodolo worked in the mid-90s with a plus breaking ball and changeup. He generally sits 92-94, but he is lanky 6-foot-6, so it plays up a bit due to extension. He's more apt to throw his curveball for strikes rather than bury it in the dirt for swings and misses, but he showed better grasp of the latter late in the year. While Lodlo will sometimes go entire outings without throwing many changeups, there have been stretches where it's his best pitch. His frame is ideal, his delivery elegant and repeatable. The stuff isn't dominant, but some teams are still projecting on it because of how big and lean Lodolo's frame is, and they think it might be eventually.","pIYt1wwMfI0",
"8",,"12/NYM","Brett Baty","3B","19.5694444","6' 3""","210","L","R","Lake Travis HS TX","Texas","45+",,"In an age when more and more teams are taking model-driven approaches to building a draft board, Baty's age looms large. A player's age relative to his peers is a predictive variable for pro success (younger is better) and Baty is older than a lot of last year's high scohol draftees. Not older than they were on draft day. Older than they are right now, and Baty is two years older than Day 1 prospect Kyren Paris. But tools-wise, he compares quite closely to Cardinals 2018 first rounder and top 100 prospect Nolan Gorman, and those tools belong in the middle of the first round. Baty is big, strong, and has huge power and advanced feel to hit. He may not be an athletic fit at third base, especially long term, and is at risk of moving to first. The age issue slides him a shade beneath where we had Gorman's FV last year, and we consider Baty's first pro summer, probably at an advanced rookie affiliate, to be of greater than usual importance in assessing his skills in an age-appropriate competitive environment.",,
"9",,"16/ARI","Corbin Carroll","CF","18.7972222","5' 10""","165","L","L","Lakeside HS WA","UCLA","45+",,"Carroll was electric during his showcase summer, displaying consistent, high-quality, all-fields contact and surprising power. In addition to having plus pure speed, which will enable him to stay in center field, Carroll is also a sly, instinctive baserunner who presses action. He doesn't run on many balls and probably won't hit for home run power without a significant swing adjustment, which it may not be pertinent to make because Carroll is such a good hitter. He has a small, narrow frame that concerns some teams, but we think the requisite strength to make hard contact and stand up to a 162-game grind is present.","sUghxoNDJ4g",
"10",,"10/SFG","Hunter Bishop","CF","20.9527777","6' 5""","210","L","R","Arizona State",,"45+",,"Bishop changed his college commitment late (he was originally going to play two sports at Washington), and headed to ASU. After struggling as a freshman and sophomore, he arrived for his junior season with a better body and quieter swing. He sent many non-conference pitches rocketing into Phoenix's midnight sky before he started seeing -- and swinging over top of -- lots of Pac-12 breaking balls. Whether this is fixable has been the subject of many debates in draft rooms in the early first round. Bishop has rare physical tools for a college hitter. He's a plus runner and will post 70 run times to first on occasion with solid feel for center field and huge, playable power, so there's a chance for stardom here even if Bishop ends up with a below-average hit tool. It's unclear why Bishop's arm strength and accuracy became issues this year after they were assets earlier in his career, but it's such a small aspect of his skillset that it shouldn't be a concern unless his medical indicates it's a chronic issue. Less stable than the college hitters ranked above him, Bishop has as much upside.",,
