Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"1","38","DET/1","Spencer Torkelson","1B","20.7777777","6' 1""","220","R","R","Arizona State",,"55",,"Torkelson broke Barry Bonds' freshman home run record at ASU and they're moved the fences *in* for his sophomore season, so he had another great year and was likely to break both the ASU and PAC-12 career marks as a junior before the COVID-19 outbreak ended the season. After he hit a combined .336/.445/.722 as a freshman and sophomore, Tork was off to a ridiculous .340/.598/.780 start as a junior and was leading the country in walks. He has sublime hitter's timing, plus bat speed, and above-average barrel control and ball/strike recognition, really only struggling with breaking balls located beneath the zone, which may be easy to remedy with a slightly longer stride. Tork only fits as a 1B, as he body comps to Yankees 1B Luke Voit. It's a tough profile, but his track record and tools, which are very similar to Andrew Vaughn's, are sufficient to generate confidence and top-of-the-draft enthusiasm anyway. Torkelson is probably going to move very quickly through the minors and be a thumping, heart of the order hitter.","3Q4wD3EV960",
"2","48","KCR/4","Asa Lacy","LHP","21.0111111","6' 4""","215","L","L","Texas A&M",,"50",,"Lacy presents scouts with a non-traditional mechanical look which makes his delivery look pretty violent about his head and shoulder, even though he has less of a head whack now than he did in high school and as an underclassman. While his delivery creates some visual relief risk, there is none regarding the pitch mix. Laxy's the slot creates backspin on the fastball that enables it to have big carry at the top of the zone, his slider has remarkable length for how hard it is, and when Lacy gets on top of his curveball it has huge, bat-missing depth. The deilvery also disorients hitters who take lots of bad, awkward swings at pitches that live in the middle of the zone. His changeup (which Lacy sets up with a two-seamer) is occasionally good-looking, and might be a real out pitch if it's re-emphasized in pro ball. ","fKeDYi5Wzzo",
"3","49","TOR/5","Austin Martin","CF","21.2027777","6' 0""","185","R","R","Vanderbilt",,"50",,"If anyone ascended toward the top of the draft class late during the 2019 spring, it was Martin, who was electric during the postseason. He already had two traits that together make for a strong profile in that Martin is likely to play a premium position (though where exactly is up for debate, his arm was not great early in 2020 and he moved from 3B to CF) and has a plus-plus feel for the strike zone. He had more walks than strikeouts as a sophomore and started hitting for power late in that season, something his combination of selectivity and gorgeous, natural swing loft give him an excellent chance of doing in pro ball despite middling raw juice. Martin doesn't have huge physical tools at first blush, but he is a sneaky plus runner and should be fine in center field whether playing there full time or as part of a multi-positional package. ",,
"4","75","SEA/6","Emerson Hancock","RHP","21.0166666","6' 4""","213","R","R","Georgia",,"50",,"His first start of the 2020 season was rocky, but Hancock's trademark stuff was present all spring, a comforting fact after he missed some of 2019, including the whole summer, with arm soreness. He sits in the mid-90s and will flash a plus changeup and slider, both of which live in the 82-85mph range. He has the prototypical power pitcher's build, delivery, and stuff, he throws strikes and had a 30-to-2 strikeout to walk ratio in his final three starts of 2020 after that rough opener. ","LmWTHBZA-20",
"5","80","COL/9","Zac Veen","CF","18.4833333","6' 4""","190","L","R","Spruce Creek HS FL","Florida","50",,"Of the high school hitters in this draft with big, projectable, athletic frames, Veen has the best present feel to hit. His in-the-box actions are quiet and smooth up until the moment he decides to unleash hell on the baseball. He can clear his hips and crush balls in and he can also extends his arms and crush pitches away from him to the opposite field gap. Because of the frame-based power potential, Veen was one of the handful of high schoolers who had a chance to really blow up during his senior spring and insert himself among the college prospects atop this draft, and because high school ball began in Florida before the COVID-19 outbreak, teams got to see some of that development and Veen separated himself from the other prep outfielders more clearly. 
",,
"6","86","PIT/7","Nick Gonzales","2B","21.025","5' 10""","190","R","R","New Mexico State",,"50",,"Gonzales presents teams with a bit of a conundrum because the hitting environment at New Mexico State makes it impossible to take his stats -- .399/.502/.747 career, .448/.610/1.155 with 12 homers in 16 games as a junior -- at face value. Instead, it's his 2019 Cape Cod line -- .351/.451/.630 -- and algorithms that can better estimate Gonzales' realistic output by utilizing hit data that will carry his statistical case in draft rooms. Visual evaluations of Gonzales suggest he has a chance to both play a premium defensive position and hit for a lot of power, though Gonzales lacks fundamental consistency on defense. He will botch some routine plays and make some spectacular ones, at times looking like a passable middle infielder and others like he belongs in the outfield. If he can stay on the MIF Gonzales might be a star. He has the most explosive hitting hands in the draft among college hitters not named Spencer Torkelson, hands that work a lot like Nationals prospect Carter Kieboom's do. There's certainly more statistical volatility here than is typical for a college hitter, and where Gonzales fits on teams' boards in the top then might depend on how well he played defense when their decision-makers saw him.",,
"7","110","BAL/2","Heston Kjerstad","RF","21.3166666","6' 3""","215","S","R","Arkansas",,"50",,"Kjerstad has performed against the best pitching in the country since he set foot on campus, and in 150 career games with Arkansas he hit .343/.421/.590, including a white hot .448/.513/.791 in 2020, during which Kjerstad hit in all sixteen games he played. He's kept his big, 6-foot-3 frame lean and speedy during that time, relevant for the corner-only prospect because Kjerstad puts a lot of balls in play down both baselines and runs well enough to turn them all into extra bases. He can drop the bat head and lift balls at his knees, and also get on top of pitches at the top of the zone. It's plus bat control on a somewhat odd-looking swing. If there are concerns about Kjerstad's cut, I'm not hearing them, they're drowned out by how well he's performed. He may have been about to have a year like J.J. Bleday's 2019 in which he clearly establishes himself as the most reliable tier 2 college hitter in the draft, and teams in the top 10 may view him as such.","m8q8iZiuC60",
"8",,"MIA/3","Max Meyer","RHP","21.2333333","6' 0""","185","R","R","Minnesota",,"45+",,"Meyer was up to 101mph in his first start of the year and threw a lot of well-located slider in the 89-92mph range as he struck out several Oregon Ducks. He proceeded to dismantle TCU (10 K in 5.2 IP), North Carolina (CG, 1 BB, 14 K), and Utah (8 IP, 15 K) in the following three weeks before the shutdown, mostly with the fastball/slider combo. Meyer's stuff and command has backed up later in starts and he doesn't have a fully formed starter's mix yet, but he's arguably the best athlete among college starters in this class.",,
"9",,"PHI/15","Mick Abel","RHP","18.8","6' 6""","190","R","R","Jesuit HS OR","Oregon State","45+",,"Abel is a high school pitching prospect straight out of central casting. He has the prototype starter's frame at a broad-shouldered 6-foot-4, he already throws hard and might throw harder as that frame fills out, he has strong natural proclivity for spinning his breaking stuff, and he'll also flash a really good changeup once in a while. His sitting fastball velocity slipped throughout his showcase summer while Jared Kelley's did not, but Abel was still reaching back for 97 early in outings and the rest of his profile is more complete than other pre arms. His location and the timing of the COVID-19 shutdown mean Abel didn't pitch in varsity games this spring, but he threw deeper into the fall than most of his peers in the preceding few years and might actually benefit from the extra rest, especially after what happened to his velo throughout last summer.","Eqc625r-XdY",
"10",,"LAA/10","Reid Detmers","LHP","20.9111111","6' 2""","210","L","L","Louisville",,"45+",,"Detmers' curveball is hell's rainbow, especially for left-handed hitters who think it's headed for their lips, bail, and watch it bend into the zone. There's some doubt about it playing in pro ball the way it has in college both because it's a slower pitch in the mid-70s and because its huge arc is easy to see out of his hand. Righty batters can wait forever before making a decision against the curveball but it's still been tough for college bats to touch because it has such cartoonish depth. He also works his heater in on the hands of righties and can run it off their hip and back into the zone for looking strikes. That approach with those two pitches has largely enabled Detmers to strike out 284 hitters in 191 career innings. He's a higher variance prospect than is typical for a college pitcher who has performed like this, because even if you buy that Detmers' fastball and curveball will play in the big leagues he needs a clearer third pitch, which will probably be a changeup. I'm a little more skeptical than what I perceive the industry median to be, but still think Detmers has a better chance to start or has been healthier than the other college ptchers in this tier.","mk06YYkpDQk",
